transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,加古川線,前坂,まえさか,兵庫県西脇市黒田庄町喜多字下曽根937-3,0,0
近畿,兵庫,加古川線,前坂第二,まえさかだいに,兵庫県西脇市黒田庄町喜多字置土居1028-2,0,0
近畿,兵庫,加古川線,前坂第四,まえさかだいよん,兵庫県西脇市黒田庄町前坂字中島1000-2,0,0
近畿,兵庫,加古川線,山鼻,やまはな,兵庫県西脇市黒田庄町前坂字山端1071-2,0,0
近畿,兵庫,加古川線,西,にし,兵庫県西脇市黒田庄町黒田字大年ノ本149-14,0,0
近畿,兵庫,加古川線,黒田,くろだ,兵庫県西脇市黒田庄町黒田字西内1114-2,0,0
近畿,兵庫,加古川線,大坪,おおつぼ,兵庫県西脇市黒田庄町黒田字柏木谷1581-42,0,0
近畿,兵庫,加古川線,段,だん,兵庫県西脇市黒田庄町船町字川東706-2,0,0
近畿,兵庫,加古川線,前山,まえやま,兵庫県西脇市黒田庄町小苗字前山587-43,0,0
近畿,兵庫,加古川線,小苗第二,こなえだいに,兵庫県西脇市黒田庄町小苗字前田109-2,0,0
近畿,兵庫,加古川線,小苗,こなえ,兵庫県西脇市黒田庄町小苗字大森585-27,0,0
近畿,兵庫,加古川線,桜の木,さくらのき,兵庫県丹波市山南町谷川字野田775-2,0,0
近畿,兵庫,加古川線,久下村,くげむら,兵庫県丹波市山南町谷川字柳ノ本571-3,0,0
近畿,兵庫,加古川線,谷川,たにがわ,兵庫県丹波市山南町谷川字柳ノ本528-2,0,0
近畿,兵庫,加古川線,金屋,かねや,兵庫県丹波市山南町谷川字北ノ下361-2,0,0
近畿,兵庫,加古川線,下井,しもい,兵庫県丹波市山南町谷川字下井217-5,0,0
近畿,兵庫,加古川線,岡本第一,おかもとだいいち,兵庫県丹波市山南町岡本字北条183-2,0,0
近畿,兵庫,山陽列車線,南畑,みなみはた,兵庫県明石市小久保南畑120-25,0,0
近畿,兵庫,山陽列車線,中谷第一,なかたにだいいち,兵庫県明石市藤江字三ツ池981-1,0,0
近畿,兵庫,山陽列車線,村南第一,むらみなみだいいち,兵庫県明石市大久保町森田字宅地148-2,0,0
近畿,兵庫,山陽列車線,宮の先第一,みやのさきだいいち,兵庫県明石市大久保町大久保町宮の先955-2,0,0
近畿,兵庫,山陽列車線,宮の先第三,みやのさきだいさん,兵庫県明石市大久保町大久保町宮の先914-3,0,0
近畿,兵庫,山陽列車線,板額,ばんがく,兵庫県明石市大久保町大久保町字板額309-5,0,0
近畿,兵庫,山陽列車線,巳野池,みのいけ,兵庫県明石市魚住町金ヶ崎字芦谷164-2,0,0
近畿,兵庫,山陽列車線,野路東,のじひがし,兵庫県明石市魚住町金ヶ崎字永長626-2,0,0
